21911,175,26,F,scientist,1991,RISING SUN,MD,STANDARD
80521,66,23,M,student,1994,FORT COLLINS,CO,STANDARD
12550,48,45,M,administrator,1972,NEWBURGH,NY,STANDARD
48043,636,47,M,educator,1970,MOUNT CLEMENS,MI,STANDARD
91505,896,28,M,writer,1989,BURBANK,CA,STANDARD
98405,732,28,F,other,1989,TACOMA,WA,STANDARD
10960,204,52,F,librarian,1965,NYACK,NY,STANDARD
10960,766,42,M,other,1975,NYACK,NY,STANDARD
14211,760,35,F,other,1982,BUFFALO,NY,STANDARD
62903,764,27,F,educator,1990,CARBONDALE,IL,STANDARD
48103,151,38,F,administrator,1979,ANN ARBOR,MI,STANDARD
48103,417,27,F,other,1990,ANN ARBOR,MI,STANDARD
48103,579,32,M,educator,1985,ANN ARBOR,MI,STANDARD
55422,424,36,F,marketing,1981,MINNEAPOLIS,MN,STANDARD
55422,565,40,M,student,1977,MINNEAPOLIS,MN,STANDARD
78155,90,60,M,educator,1957,SEGUIN,TX,STANDARD
95032,113,47,M,executive,1970,LOS GATOS,CA,STANDARD
60152,817,19,M,student,1998,MARENGO,IL,STANDARD
85032,251,28,M,doctor,1989,PHOENIX,AZ,STANDARD
92507,867,24,M,scientist,1993,RIVERSIDE,CA,STANDARD
00000,186,39,F,executive,1978,,,
00000,767,70,M,engineer,1947,,,
15017,824,31,M,other,1986,BRIDGEVILLE,PA,STANDARD
38866,631,18,F,student,1999,SALTILLO,MS,STANDARD
11217,155,32,F,other,1985,BROOKLYN,NY,STANDARD
11217,557,30,F,writer,1987,BROOKLYN,NY,STANDARD
11217,806,27,M,marketing,1990,BROOKLYN,NY,STANDARD
11758,450,35,F,educator,1982,MASSAPEQUA,NY,STANDARD
20902,876,41,M,other,1976,SILVER SPRING,MD,STANDARD
44074,361,22,M,student,1995,OBERLIN,OH,STANDARD
55104,161,50,M,lawyer,1967,SAINT PAUL,MN,STANDARD
55104,528,18,M,student,1999,SAINT PAUL,MN,STANDARD
55104,757,26,M,student,1991,SAINT PAUL,MN,STANDARD
60187,623,50,F,educator,1967,WHEATON,IL,STANDARD
94612,132,24,M,other,1993,OAKLAND,CA,STANDARD
02143,147,40,F,librarian,1977,SOMERVILLE,MA,STANDARD
44691,411,34,M,educator,1983,WOOSTER,OH,STANDARD
53115,206,14,F,student,2003,DELAVAN,WI,STANDARD
55128,682,23,M,programmer,1994,SAINT PAUL,MN,STANDARD
66315,54,22,M,executive,1995,,,
01940,638,45,M,engineer,1972,LYNNFIELD,MA,STANDARD
05001,465,32,M,other,1985,WHITE RIVER JUNCTION,VT,STANDARD
05779,788,51,M,administrator,1966,,,
77008,611,46,M,librarian,1971,HOUSTON,TX,STANDARD
53144,822,29,F,librarian,1988,KENOSHA,WI,STANDARD
60201,202,41,F,educator,1976,EVANSTON,IL,STANDARD
60201,243,33,M,educator,1984,EVANSTON,IL,STANDARD
60201,446,57,M,educator,1960,EVANSTON,IL,STANDARD
76309,700,17,M,student,2000,WICHITA FALLS,TX,STANDARD
03755,79,39,F,administrator,1978,HANOVER,NH,STANDARD
30067,170,53,F,healthcare,1964,MARIETTA,GA,STANDARD
30067,624,19,M,student,1998,MARIETTA,GA,STANDARD
39762,649,20,M,student,1997,MISSISSIPPI STATE,MS,PO BOX
94025,410,30,F,artist,1987,MENLO PARK,CA,STANDARD
03869,506,46,M,programmer,1971,ROLLINSFORD,NH,STANDARD
08043,314,20,F,student,1997,VOORHEES,NJ,STANDARD
18015,377,22,M,student,1995,BETHLEHEM,PA,STANDARD
27105,772,50,M,writer,1967,WINSTON SALEM,NC,STANDARD
94043,2,53,F,other,1964,MOUNTAIN VIEW,CA,STANDARD
94043,29,41,M,programmer,1976,MOUNTAIN VIEW,CA,STANDARD
94043,105,24,M,engineer,1993,MOUNTAIN VIEW,CA,STANDARD
08034,627,24,M,engineer,1993,CHERRY HILL,NJ,STANDARD
14476,230,28,F,student,1989,KENDALL,NY,STANDARD
28806,815,32,M,other,1985,ASHEVILLE,NC,STANDARD
29631,583,44,M,engineer,1973,CLEMSON,SC,STANDARD
33556,931,60,M,educator,1957,ODESSA,FL,STANDARD
55346,159,23,F,student,1994,EDEN PRAIRIE,MN,STANDARD
55346,263,41,M,programmer,1976,EDEN PRAIRIE,MN,STANDARD
78750,171,48,F,educator,1969,AUSTIN,TX,STANDARD
92688,356,32,F,homemaker,1985,RANCHO SANTA MARGARITA,CA,STANDARD
20057,282,22,M,administrator,1995,WASHINGTON,DC,UNIQUE
43512,224,31,F,educator,1986,DEFIANCE,OH,STANDARD
55420,789,29,M,other,1988,MINNEAPOLIS,MN,STANDARD
55428,927,23,M,programmer,1994,MINNEAPOLIS,MN,STANDARD
92103,226,28,M,student,1989,SAN DIEGO,CA,STANDARD
95129,402,30,M,engineer,1987,SAN JOSE,CA,STANDARD
97365,136,51,M,other,1966,NEWPORT,OR,STANDARD
19341,663,26,M,other,1991,EXTON,PA,STANDARD
27502,222,29,M,programmer,1988,APEX,NC,STANDARD
71457,94,26,M,student,1991,NATCHITOCHES,LA,STANDARD
80227,614,54,M,educator,1963,DENVER,CO,STANDARD
17604,199,30,M,writer,1987,LANCASTER,PA,PO BOX
17870,42,30,M,administrator,1987,SELINSGROVE,PA,STANDARD
77504,877,30,M,other,1987,PASADENA,TX,STANDARD
90254,100,36,M,executive,1981,HERMOSA BEACH,CA,STANDARD
16509,51,28,M,educator,1989,ERIE,PA,STANDARD
19382,508,27,M,marketing,1990,WEST CHESTER,PA,STANDARD
78739,654,27,F,student,1990,AUSTIN,TX,STANDARD
07102,47,53,M,marketing,1964,NEWARK,NJ,STANDARD
30040,61,36,M,engineer,1981,CUMMING,GA,STANDARD
40515,853,49,M,writer,1968,LEXINGTON,KY,STANDARD
43212,219,32,M,programmer,1985,COLUMBUS,OH,STANDARD
43212,483,29,M,scientist,1988,COLUMBUS,OH,STANDARD
73162,739,35,M,technician,1982,OKLAHOMA CITY,OK,STANDARD
30803,809,50,F,marketing,1967,AVERA,GA,STANDARD
02159,524,56,M,educator,1961,,,
02324,533,43,M,librarian,1974,BRIDGEWATER,MA,STANDARD
26241,513,43,M,administrator,1974,ELKINS,WV,STANDARD
45660,348,24,F,student,1993,PEEBLES,OH,STANDARD
56567,729,19,M,student,1998,NEW YORK MILLS,MN,STANDARD
84105,717,24,M,technician,1993,SALT LAKE CITY,UT,STANDARD
94560,780,49,M,programmer,1968,NEWARK,CA,STANDARD
98103,297,29,F,educator,1988,SEATTLE,WA,STANDARD
98117,379,44,M,programmer,1973,SEATTLE,WA,STANDARD
25652,849,15,F,student,2002,WHITMAN,WV,PO BOX
27511,584,25,M,student,1992,CARY,NC,STANDARD
55038,938,38,F,technician,1979,HUGO,MN,STANDARD
